Job Title,Company Name,Location,Category,Seniority Level,Employment Type,Job Description,Extracted Skills,Extracted Experience (Years),Extracted Education,Extracted Duties
Business Analyst,GourmetNest,Hybrid,Consultant,Senior,Contract,"As a Business Analyst, you will be expected to handle responsibilities including analysis, presentation, consultant, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Associate degree in Consultant or related field is required.. Candidates must have strong skills in strategy, presentation, analysis, consultant. A minimum of 3 years of relevant experience is required for this role. Preferred: certifications in consultant or equivalent hands-on experience.","business, presentation, analysis, ui, consultant, strategy",3,Associate in Consultant Or Related Field,"As a Business Analyst, you will be expected to handle responsibilities including analysis, presentation, consultant, collaborating with cross-functional teams, and supporting strategic goals"
Backend Developer,WellCare Health,"Los Angeles, CA",Information Technology (IT),Senior,Contract,"As a Backend Developer, you will be expected to handle responsibilities including software, python, backend, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Associate degree in Information or related field is required.. Candidates must have strong skills in engineer, developer, cloud, frontend. A minimum of 2 years of relevant experience is required for this role. Preferred: certifications in frontend or equivalent hands-on experience.","cloud, engineer, python, software, frontend, backend, developer, ui",2,Associate in Information Or Related Field,"As a Backend Developer, you will be expected to handle responsibilities including software, python, backend, collaborating with cross-functional teams, and supporting strategic goals"
Product Designer,FitCore Gym,Remote,Designer (Graphic/UI/UX),Entry-level,Temporary,"As a Product Designer, you will be expected to handle responsibilities including figma, designer, ux, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Bachelor’s degree in Designer or related field is required.. Candidates must have strong skills in ui, adobe, figma, designer. A minimum of 6 years of relevant experience is required for this role. Preferred: certifications in ui or equivalent hands-on experience.","ux, figma, adobe, designer, ui",6,Bachelor in Designer Or Related Field,"As a Product Designer, you will be expected to handle responsibilities including figma, designer, ux, collaborating with cross-functional teams, and supporting strategic goals"
Crop Specialist,BlueSky HR,Remote,Agriculture Professional,Mid,Part-time,"As a Crop Specialist, you will be expected to handle responsibilities including soil, farming, agriculture, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. High school diploma in Agriculture or related field is required.. Candidates must have strong skills in crop, irrigation, soil, agriculture. A minimum of 3 years of relevant experience is required for this role. Preferred: certifications in irrigation or equivalent hands-on experience.","crop, irrigation, agriculture, soil, farming, ui",3,High school in Agriculture Or Related Field,"As a Crop Specialist, you will be expected to handle responsibilities including soil, farming, agriculture, collaborating with cross-functional teams, and supporting strategic goals"
Fitness Coach,MarketMinds Inc.,Remote,Fitness Trainer,Entry-level,Part-time,"As a Fitness Coach, you will be expected to handle responsibilities including trainer, fitness, hiit, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. High school diploma in Fitness or related field is required.. Candidates must have strong skills in hiit, workout, nutrition, fitness. A minimum of 5 years of relevant experience is required for this role. Preferred: certifications in exercise or equivalent hands-on experience.","fitness, exercise, trainer, nutrition, hiit, workout, ui",5,High school in Fitness Or Related Field,"As a Fitness Coach, you will be expected to handle responsibilities including trainer, fitness, hiit, collaborating with cross-functional teams, and supporting strategic goals Candidates must have strong skills in hiit, workout, nutrition, fitness"
Sales Executive,BlueSky HR,Remote,Sales,Entry-level,Full-time,"As a Sales Executive, you will be expected to handle responsibilities including crm, pipeline, lead, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Bachelor’s degree in Sales or related field is required.. Candidates must have strong skills in lead, closing, pipeline, sales. A minimum of 5 years of relevant experience is required for this role. Preferred: certifications in pipeline or equivalent hands-on experience.","sales, lead, crm, closing, pipeline, ui",5,Bachelor in Sales Or Related Field,"As a Sales Executive, you will be expected to handle responsibilities including crm, pipeline, lead, collaborating with cross-functional teams, and supporting strategic goals"
Agronomist,LegalBridge LLP,Remote,Agriculture Professional,Mid,Temporary,"As a Agronomist, you will be expected to handle responsibilities including agriculture, crop, irrigation, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. PhD in a relevant field in Agriculture or related field is required.. Candidates must have strong skills in farming, irrigation, soil, crop. A minimum of 6 years of relevant experience is required for this role. Preferred: certifications in crop or equivalent hands-on experience.","crop, irrigation, agriculture, soil, farming, ui",6,Phd in A Relevant Field In Agriculture Or Related Field,"As a Agronomist, you will be expected to handle responsibilities including agriculture, crop, irrigation, collaborating with cross-functional teams, and supporting strategic goals"
Lead Generation Specialist,SalesSphere Ltd.,"Austin, TX",Sales,Mid,Temporary,"As a Lead Generation Specialist, you will be expected to handle responsibilities including sales, quota, pipeline, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Master’s degree in Sales or related field is required.. Candidates must have strong skills in quota, sales, crm, pipeline. A minimum of 6 years of relevant experience is required for this role. Preferred: certifications in pipeline or equivalent hands-on experience.","sales, lead, crm, pipeline, ui, quota",6,Master in Sales Or Related Field,"As a Lead Generation Specialist, you will be expected to handle responsibilities including sales, quota, pipeline, collaborating with cross-functional teams, and supporting strategic goals"
Curriculum Developer,FitCore Gym,"Austin, TX",Teacher,Entry-level,Temporary,"PhD in a relevant field in Teacher or related field is required.. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. A Bachelor’s degree in Teacher or a related field is required. Candidates must have strong skills in curriculum, students, classroom, education. A minimum of 5 years of relevant experience is required for this role. Preferred: certifications in lesson or equivalent hands-on experience.","lesson, classroom, curriculum, developer, ui, education, students",5,Phd in A Relevant Field In Teacher Or Related Field,PhD in a relevant field in Teacher or related field is required
Curriculum Developer,GourmetNest,Hybrid,Teacher,Senior,Full-time,"Master’s degree in Teacher or related field is required.. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. A Bachelor’s degree in Teacher or a related field is required. Candidates must have strong skills in teaching, curriculum, students, classroom. A minimum of 2 years of relevant experience is required for this role. Preferred: certifications in lesson or equivalent hands-on experience.","lesson, classroom, curriculum, developer, ui, education, students, teaching",2,Master in Teacher Or Related Field,Master’s degree in Teacher or related field is required
Pastry Chef,WellCare Health,Hybrid,Chef,Senior,Contract,"As a Pastry Chef, you will be expected to handle responsibilities including culinary, recipe, kitchen, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. PhD in a relevant field in Chef or related field is required.. Candidates must have strong skills in chef, recipe, cooking, kitchen. A minimum of 4 years of relevant experience is required for this role. Preferred: certifications in kitchen or equivalent hands-on experience.","chef, culinary, recipe, ui, kitchen, cooking",4,Phd in A Relevant Field In Chef Or Related Field,"As a Pastry Chef, you will be expected to handle responsibilities including culinary, recipe, kitchen, collaborating with cross-functional teams, and supporting strategic goals"
Medical Assistant,WellCare Health,"Chicago, IL",Healthcare Professional,Senior,Full-time,"As a Medical Assistant, you will be expected to handle responsibilities including diagnosis, clinic, treatment, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. High school diploma in Healthcare or related field is required.. Candidates must have strong skills in patient, clinic, diagnosis, treatment. A minimum of 4 years of relevant experience is required for this role. Preferred: certifications in nurse or equivalent hands-on experience.","treatment, nurse, clinic, ui, diagnosis, patient",4,High school in Healthcare Or Related Field,"As a Medical Assistant, you will be expected to handle responsibilities including diagnosis, clinic, treatment, collaborating with cross-functional teams, and supporting strategic goals"
Sous Chef,SalesSphere Ltd.,"Chicago, IL",Chef,Mid,Temporary,"As a Sous Chef, you will be expected to handle responsibilities including recipe, menu, chef, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Master’s degree in Chef or related field is required.. Candidates must have strong skills in kitchen, chef, cooking, menu. A minimum of 2 years of relevant experience is required for this role. Preferred: certifications in chef or equivalent hands-on experience.","chef, menu, recipe, ui, kitchen, cooking",2,Master in Chef Or Related Field,"As a Sous Chef, you will be expected to handle responsibilities including recipe, menu, chef, collaborating with cross-functional teams, and supporting strategic goals"
Product Designer,BlueSky HR,Remote,Designer (Graphic/UI/UX),Entry-level,Part-time,"As a Product Designer, you will be expected to handle responsibilities including figma, wireframe, prototype, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Bachelor’s degree in Designer or related field is required.. Candidates must have strong skills in ui, adobe, prototype, figma. A minimum of 5 years of relevant experience is required for this role. Preferred: certifications in adobe or equivalent hands-on experience.","prototype, figma, wireframe, adobe, designer, ui",5,Bachelor in Designer Or Related Field,"As a Product Designer, you will be expected to handle responsibilities including figma, wireframe, prototype, collaborating with cross-functional teams, and supporting strategic goals"
Legal Associate,BlueSky HR,"Chicago, IL",Advocate (Lawyer),Entry-level,Full-time,"As a Legal Associate, you will be expected to handle responsibilities including court, legal, case, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Associate degree in Advocate or related field is required.. Candidates must have strong skills in court, legal, lawyer, litigation. A minimum of 4 years of relevant experience is required for this role. Preferred: certifications in court or equivalent hands-on experience.","litigation, court, legal, ui, case, lawyer",4,Associate in Advocate Or Related Field,"As a Legal Associate, you will be expected to handle responsibilities including court, legal, case, collaborating with cross-functional teams, and supporting strategic goals"
Sous Chef,GourmetNest,"New York, NY",Chef,Mid,Temporary,"As a Sous Chef, you will be expected to handle responsibilities including cooking, menu, chef, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Technical diploma in Chef or related field is required.. Candidates must have strong skills in recipe, cooking, kitchen, culinary. A minimum of 2 years of relevant experience is required for this role. Preferred: certifications in menu or equivalent hands-on experience.","chef, menu, culinary, recipe, ui, kitchen, cooking",2,Diploma in Chef Or Related Field,"As a Sous Chef, you will be expected to handle responsibilities including cooking, menu, chef, collaborating with cross-functional teams, and supporting strategic goals"
Sous Chef,MarketMinds Inc.,"New York, NY",Chef,Entry-level,Contract,"As a Sous Chef, you will be expected to handle responsibilities including recipe, kitchen, culinary, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. PhD in a relevant field in Chef or related field is required.. Candidates must have strong skills in culinary, cooking, recipe, chef. A minimum of 4 years of relevant experience is required for this role. Preferred: certifications in chef or equivalent hands-on experience.","chef, culinary, recipe, ui, kitchen, cooking",4,Phd in A Relevant Field In Chef Or Related Field,"As a Sous Chef, you will be expected to handle responsibilities including recipe, kitchen, culinary, collaborating with cross-functional teams, and supporting strategic goals"
Personal Trainer,BlueSky HR,"Los Angeles, CA",Fitness Trainer,Senior,Full-time,"As a Personal Trainer, you will be expected to handle responsibilities including workout, fitness, hiit, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. PhD in a relevant field in Fitness or related field is required.. Candidates must have strong skills in hiit, workout, fitness, exercise. A minimum of 4 years of relevant experience is required for this role. Preferred: certifications in exercise or equivalent hands-on experience.","fitness, exercise, trainer, hiit, workout, ui",4,Phd in A Relevant Field In Fitness Or Related Field,"As a Personal Trainer, you will be expected to handle responsibilities including workout, fitness, hiit, collaborating with cross-functional teams, and supporting strategic goals Candidates must have strong skills in hiit, workout, fitness, exercise"
Corporate Lawyer,GourmetNest,Hybrid,Advocate (Lawyer),Senior,Full-time,"As a Corporate Lawyer, you will be expected to handle responsibilities including lawyer, case, legal, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. High school diploma in Advocate or related field is required.. Candidates must have strong skills in contract, litigation, court, legal. A minimum of 2 years of relevant experience is required for this role. Preferred: certifications in litigation or equivalent hands-on experience.","litigation, contract, court, legal, ui, case, lawyer",2,High school in Advocate Or Related Field,"As a Corporate Lawyer, you will be expected to handle responsibilities including lawyer, case, legal, collaborating with cross-functional teams, and supporting strategic goals"
HR Coordinator,FitCore Gym,"Los Angeles, CA",Human Resources (HR),Entry-level,Contract,"As a HR Coordinator, you will be expected to handle responsibilities including payroll, recruitment, talent, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Master’s degree in Human or related field is required.. Candidates must have strong skills in payroll, recruitment, employee relations, talent. A minimum of 2 years of relevant experience is required for this role. Preferred: certifications in talent or equivalent hands-on experience.","hr, employee relations, payroll, talent, recruitment, ui",2,Master in Human Or Related Field,"As a HR Coordinator, you will be expected to handle responsibilities including payroll, recruitment, talent, collaborating with cross-functional teams, and supporting strategic goals"
Executive Chef,PixelCraft Studios,"Los Angeles, CA",Chef,Senior,Temporary,"As a Executive Chef, you will be expected to handle responsibilities including cooking, culinary, kitchen, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Bachelor’s degree in Chef or related field is required.. Candidates must have strong skills in kitchen, menu, recipe, cooking. A minimum of 6 years of relevant experience is required for this role. Preferred: certifications in culinary or equivalent hands-on experience.","chef, menu, culinary, recipe, ui, kitchen, cooking",6,Bachelor in Chef Or Related Field,"As a Executive Chef, you will be expected to handle responsibilities including cooking, culinary, kitchen, collaborating with cross-functional teams, and supporting strategic goals"
Medical Assistant,BlueSky HR,"New York, NY",Healthcare Professional,Entry-level,Part-time,"As a Medical Assistant, you will be expected to handle responsibilities including nurse, clinic, patient, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. PhD in a relevant field in Healthcare or related field is required.. Candidates must have strong skills in nurse, treatment, hospital, clinic. A minimum of 2 years of relevant experience is required for this role. Preferred: certifications in diagnosis or equivalent hands-on experience.","treatment, hospital, nurse, clinic, ui, diagnosis, patient",2,Phd in A Relevant Field In Healthcare Or Related Field,"As a Medical Assistant, you will be expected to handle responsibilities including nurse, clinic, patient, collaborating with cross-functional teams, and supporting strategic goals"
Lead Generation Specialist,GourmetNest,Hybrid,Sales,Entry-level,Temporary,"As a Lead Generation Specialist, you will be expected to handle responsibilities including quota, closing, crm, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Associate degree in Sales or related field is required.. Candidates must have strong skills in sales, pipeline, quota, crm. A minimum of 6 years of relevant experience is required for this role. Preferred: certifications in sales or equivalent hands-on experience.","sales, lead, crm, closing, pipeline, ui, quota",6,Associate in Sales Or Related Field,"As a Lead Generation Specialist, you will be expected to handle responsibilities including quota, closing, crm, collaborating with cross-functional teams, and supporting strategic goals"
UI/UX Designer,PixelCraft Studios,"Chicago, IL",Designer (Graphic/UI/UX),Entry-level,Full-time,"As a UI/UX Designer, you will be expected to handle responsibilities including wireframe, ux, figma, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Bachelor’s degree in Designer or related field is required.. Candidates must have strong skills in designer, prototype, wireframe, ux. A minimum of 2 years of relevant experience is required for this role. Preferred: certifications in ux or equivalent hands-on experience.","prototype, ux, figma, wireframe, designer, ui",2,Bachelor in Designer Or Related Field,"As a UI/UX Designer, you will be expected to handle responsibilities including wireframe, ux, figma, collaborating with cross-functional teams, and supporting strategic goals"
Business Development Manager,AgroGrow Co.,"New York, NY",Business Development,Senior,Part-time,"As a Business Development Manager, you will be expected to handle responsibilities including sales, leads, crm, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Associate degree in Business or related field is required.. Candidates must have strong skills in growth, business, partnership, sales. A minimum of 6 years of relevant experience is required for this role. Preferred: certifications in partnership or equivalent hands-on experience.","partnership, sales, business, lead, crm, growth, ui, leads",6,Associate in Business Or Related Field,"As a Business Development Manager, you will be expected to handle responsibilities including sales, leads, crm, collaborating with cross-functional teams, and supporting strategic goals"
Business Development Manager,StratEdge Consulting,"Chicago, IL",Business Development,Entry-level,Part-time,"As a Business Development Manager, you will be expected to handle responsibilities including growth, partnership, crm, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Master’s degree in Business or related field is required.. Candidates must have strong skills in growth, partnership, crm, sales. A minimum of 5 years of relevant experience is required for this role. Preferred: certifications in leads or equivalent hands-on experience.","partnership, sales, business, lead, crm, growth, ui, leads",5,Master in Business Or Related Field,"As a Business Development Manager, you will be expected to handle responsibilities including growth, partnership, crm, collaborating with cross-functional teams, and supporting strategic goals"
Sous Chef,GourmetNest,"Los Angeles, CA",Chef,Senior,Part-time,"As a Sous Chef, you will be expected to handle responsibilities including culinary, kitchen, recipe, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Technical diploma in Chef or related field is required.. Candidates must have strong skills in kitchen, menu, cooking, culinary. A minimum of 4 years of relevant experience is required for this role. Preferred: certifications in chef or equivalent hands-on experience.","chef, menu, culinary, recipe, ui, kitchen, cooking",4,Diploma in Chef Or Related Field,"As a Sous Chef, you will be expected to handle responsibilities including culinary, kitchen, recipe, collaborating with cross-functional teams, and supporting strategic goals"
Software Engineer,TechNova Solutions,"Chicago, IL",Information Technology (IT),Senior,Full-time,"As a Software Engineer, you will be expected to handle responsibilities including software, cloud, backend, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. High school diploma in Information or related field is required.. Candidates must have strong skills in backend, cloud, developer, software. A minimum of 4 years of relevant experience is required for this role. Preferred: certifications in engineer or equivalent hands-on experience.","cloud, engineer, software, backend, developer, ui",4,High school in Information Or Related Field,"As a Software Engineer, you will be expected to handle responsibilities including software, cloud, backend, collaborating with cross-functional teams, and supporting strategic goals"
Graphic Designer,WellCare Health,"New York, NY",Designer (Graphic/UI/UX),Entry-level,Temporary,"As a Graphic Designer, you will be expected to handle responsibilities including adobe, designer, figma, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Technical diploma in Designer or related field is required.. Candidates must have strong skills in adobe, ui, figma, ux. A minimum of 5 years of relevant experience is required for this role. Preferred: certifications in ui or equivalent hands-on experience.","ux, figma, adobe, designer, ui",5,Diploma in Designer Or Related Field,"As a Graphic Designer, you will be expected to handle responsibilities including adobe, designer, figma, collaborating with cross-functional teams, and supporting strategic goals"
Partnership Manager,TechNova Solutions,"Chicago, IL",Business Development,Mid,Full-time,"As a Partnership Manager, you will be expected to handle responsibilities including business, growth, partnership, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Bachelor’s degree in Business or related field is required.. Candidates must have strong skills in partnership, growth, business, sales. A minimum of 3 years of relevant experience is required for this role. Preferred: certifications in business or equivalent hands-on experience.","partnership, sales, business, growth, ui",3,Bachelor in Business Or Related Field,"As a Partnership Manager, you will be expected to handle responsibilities including business, growth, partnership, collaborating with cross-functional teams, and supporting strategic goals"
Executive Chef,BlueSky HR,"Los Angeles, CA",Chef,Senior,Temporary,"As a Executive Chef, you will be expected to handle responsibilities including culinary, kitchen, chef, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Associate degree in Chef or related field is required.. Candidates must have strong skills in cooking, recipe, culinary, menu. A minimum of 5 years of relevant experience is required for this role. Preferred: certifications in chef or equivalent hands-on experience.","chef, menu, culinary, recipe, ui, kitchen, cooking",5,Associate in Chef Or Related Field,"As a Executive Chef, you will be expected to handle responsibilities including culinary, kitchen, chef, collaborating with cross-functional teams, and supporting strategic goals"
Advisory Consultant,BlueSky HR,Remote,Consultant,Entry-level,Contract,"As a Advisory Consultant, you will be expected to handle responsibilities including strategy, analysis, consultant, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Master’s degree in Consultant or related field is required.. Candidates must have strong skills in analysis, consultant, presentation, strategy. A minimum of 6 years of relevant experience is required for this role. Preferred: certifications in consultant or equivalent hands-on experience.","presentation, analysis, ui, advisory, consultant, strategy",6,Master in Consultant Or Related Field,"As a Advisory Consultant, you will be expected to handle responsibilities including strategy, analysis, consultant, collaborating with cross-functional teams, and supporting strategic goals"
Medical Assistant,BlueSky HR,"New York, NY",Healthcare Professional,Senior,Full-time,"As a Medical Assistant, you will be expected to handle responsibilities including treatment, hospital, patient, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Associate degree in Healthcare or related field is required.. Candidates must have strong skills in patient, hospital, clinic, treatment. A minimum of 2 years of relevant experience is required for this role. Preferred: certifications in hospital or equivalent hands-on experience.","treatment, hospital, clinic, ui, patient",2,Associate in Healthcare Or Related Field,"As a Medical Assistant, you will be expected to handle responsibilities including treatment, hospital, patient, collaborating with cross-functional teams, and supporting strategic goals"
Software Engineer,EduMentor Academy,Hybrid,Information Technology (IT),Entry-level,Part-time,"As a Software Engineer, you will be expected to handle responsibilities including python, software, frontend, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Technical diploma in Information or related field is required.. Candidates must have strong skills in frontend, software, developer, engineer. A minimum of 5 years of relevant experience is required for this role. Preferred: certifications in cloud or equivalent hands-on experience.","cloud, engineer, python, software, frontend, developer, ui",5,Diploma in Information Or Related Field,"As a Software Engineer, you will be expected to handle responsibilities including python, software, frontend, collaborating with cross-functional teams, and supporting strategic goals"
Corporate Lawyer,TechNova Solutions,Hybrid,Advocate (Lawyer),Senior,Full-time,"As a Corporate Lawyer, you will be expected to handle responsibilities including legal, contract, case, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Associate degree in Advocate or related field is required.. Candidates must have strong skills in court, case, contract, litigation. A minimum of 4 years of relevant experience is required for this role. Preferred: certifications in case or equivalent hands-on experience.","litigation, contract, court, legal, ui, case, lawyer",4,Associate in Advocate Or Related Field,"As a Corporate Lawyer, you will be expected to handle responsibilities including legal, contract, case, collaborating with cross-functional teams, and supporting strategic goals"
Group Exercise Instructor,EduMentor Academy,"Austin, TX",Fitness Trainer,Mid,Contract,"As a Group Exercise Instructor, you will be expected to handle responsibilities including trainer, exercise, nutrition, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Master’s degree in Fitness or related field is required.. Candidates must have strong skills in exercise, workout, trainer, hiit. A minimum of 5 years of relevant experience is required for this role. Preferred: certifications in hiit or equivalent hands-on experience.","fitness, exercise, trainer, nutrition, hiit, workout, ui",5,Master in Fitness Or Related Field,"As a Group Exercise Instructor, you will be expected to handle responsibilities including trainer, exercise, nutrition, collaborating with cross-functional teams, and supporting strategic goals Candidates must have strong skills in exercise, workout, trainer, hiit"
Group Exercise Instructor,TechNova Solutions,"New York, NY",Fitness Trainer,Entry-level,Temporary,"As a Group Exercise Instructor, you will be expected to handle responsibilities including workout, exercise, fitness, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Technical diploma in Fitness or related field is required.. Candidates must have strong skills in fitness, workout, hiit, exercise. A minimum of 5 years of relevant experience is required for this role. Preferred: certifications in exercise or equivalent hands-on experience.","fitness, exercise, hiit, workout, ui",5,Diploma in Fitness Or Related Field,"As a Group Exercise Instructor, you will be expected to handle responsibilities including workout, exercise, fitness, collaborating with cross-functional teams, and supporting strategic goals Candidates must have strong skills in fitness, workout, hiit, exercise"
Legal Associate,EduMentor Academy,"Chicago, IL",Advocate (Lawyer),Entry-level,Temporary,"As a Legal Associate, you will be expected to handle responsibilities including legal, contract, litigation, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Bachelor’s degree in Advocate or related field is required.. Candidates must have strong skills in lawyer, legal, litigation, contract. A minimum of 4 years of relevant experience is required for this role. Preferred: certifications in lawyer or equivalent hands-on experience.","litigation, contract, legal, ui, lawyer",4,Associate in Advocate Or Related Field,"As a Legal Associate, you will be expected to handle responsibilities including legal, contract, litigation, collaborating with cross-functional teams, and supporting strategic goals"
Medical Assistant,WellCare Health,"Chicago, IL",Healthcare Professional,Senior,Part-time,"As a Medical Assistant, you will be expected to handle responsibilities including clinic, diagnosis, nurse, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Master’s degree in Healthcare or related field is required.. Candidates must have strong skills in nurse, treatment, hospital, diagnosis. A minimum of 4 years of relevant experience is required for this role. Preferred: certifications in treatment or equivalent hands-on experience.","treatment, hospital, nurse, clinic, ui, diagnosis",4,Master in Healthcare Or Related Field,"As a Medical Assistant, you will be expected to handle responsibilities including clinic, diagnosis, nurse, collaborating with cross-functional teams, and supporting strategic goals"
High School Teacher,PixelCraft Studios,"Austin, TX",Teacher,Mid,Contract,"As a High School Teacher, you will be expected to handle responsibilities including curriculum, classroom, teaching, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Master’s degree in Teacher or related field is required.. Candidates must have strong skills in teaching, classroom, students, education. A minimum of 6 years of relevant experience is required for this role. Preferred: certifications in lesson or equivalent hands-on experience.","lesson, classroom, curriculum, ui, education, students, teaching",6,High school in Teacher Or Related Field,"As a High School Teacher, you will be expected to handle responsibilities including curriculum, classroom, teaching, collaborating with cross-functional teams, and supporting strategic goals"
Registered Nurse,EduMentor Academy,"Los Angeles, CA",Healthcare Professional,Mid,Part-time,"As a Registered Nurse, you will be expected to handle responsibilities including diagnosis, clinic, treatment, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. PhD in a relevant field in Healthcare or related field is required.. Candidates must have strong skills in nurse, diagnosis, clinic, patient. A minimum of 4 years of relevant experience is required for this role. Preferred: certifications in patient or equivalent hands-on experience.","treatment, nurse, clinic, ui, diagnosis, patient",4,Phd in A Relevant Field In Healthcare Or Related Field,"As a Registered Nurse, you will be expected to handle responsibilities including diagnosis, clinic, treatment, collaborating with cross-functional teams, and supporting strategic goals"
Legal Associate,GourmetNest,Hybrid,Advocate (Lawyer),Senior,Temporary,"As a Legal Associate, you will be expected to handle responsibilities including lawyer, court, litigation, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. PhD in a relevant field in Advocate or related field is required.. Candidates must have strong skills in case, lawyer, court, legal. A minimum of 3 years of relevant experience is required for this role. Preferred: certifications in legal or equivalent hands-on experience.","litigation, court, legal, ui, case, lawyer",3,Associate in A Relevant Field In Advocate Or Related Field,"As a Legal Associate, you will be expected to handle responsibilities including lawyer, court, litigation, collaborating with cross-functional teams, and supporting strategic goals"
Backend Developer,StratEdge Consulting,Remote,Information Technology (IT),Mid,Temporary,"As a Backend Developer, you will be expected to handle responsibilities including developer, software, engineer, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Bachelor’s degree in Information or related field is required.. Candidates must have strong skills in frontend, python, engineer, cloud. A minimum of 6 years of relevant experience is required for this role. Preferred: certifications in engineer or equivalent hands-on experience.","cloud, engineer, python, software, frontend, backend, developer, ui",6,Bachelor in Information Or Related Field,"As a Backend Developer, you will be expected to handle responsibilities including developer, software, engineer, collaborating with cross-functional teams, and supporting strategic goals"
